log2FoldChange,pvalue,padj,LLgeneAbbrev
0.117933187,0.749206129,0.972952981,acer2
-0.047155294,0.749283956,0.972952981,nck2b
-0.326155802,0.749293675,0.972952981,XLOC_008474
0.115452137,0.749317666,0.972952981,hpdl
-0.055646383,0.749352057,0.972952981,smarcad1b
0.0992494,0.749359838,0.972952981,sh2d4a
0.135286127,0.749439847,0.972952981,CABZ01084564.1
-0.048117681,0.749471999,0.972952981,hhipl2
-0.045460746,0.749548375,0.972952981,stag1a
-0.068162878,0.749550441,0.972952981,carnmt1
0.050286483,0.749574872,0.972952981,timm9
-0.230814072,0.749645006,0.972952981,CR792438.1
0.042335132,0.749665771,0.972952981,FAM53C
0.219170022,0.749737667,0.972952981,CU459147.1
0.174612617,0.749741573,0.972952981,si:dkeyp-61b2.1
0.142020006,0.749748629,0.972952981,dhrs13a.2
0.132763678,0.749750272,0.972952981,chrnb2l
-0.079055224,0.749799374,0.972952981,jac10
-0.073273072,0.74982297,0.972952981,prdm12a
-0.232369917,0.749847223,0.972952981,si:ch211-134c9.2
0.041561376,0.749866582,0.972952981,slc20a2
0.159225049,0.749905735,0.972952981,LOC103910812
-0.071482461,0.749915011,0.972952981,metap2a
0.085220763,0.749941288,0.972952981,BX000438.1
0.040394811,0.749984622,0.972952985,hipk3a
0.064607471,0.750209542,0.972952985,map7a
0.076789925,0.750211098,0.972952985,LOC110439800
0.125084983,0.75022921,0.972952985,si:dkey-264f17.2
0.074174628,0.750245311,0.972952985,nlrb5
-0.156389959,0.750416454,0.972952985,LOC100149234
-0.032323668,0.750464996,0.972952985,cnn3a
0.056949054,0.750486684,0.972952985,cyp27c1
-0.044078422,0.750599474,0.972952985,mettl17
0.352315238,0.750684048,0.972952985,XLOC_031580
0.172913839,0.750687,0.972952985,si:dkey-93m18.3
-0.064809465,0.750688236,0.972952985,XLOC_008119
-0.118277165,0.750730317,0.972952985,XLOC_032836
0.035324461,0.750792418,0.972952985,si:ch211-197h24.6
-0.07963522,0.750864863,0.972952985,wdr92
-0.106397721,0.750893892,0.972952985,si:dkeyp-38g8.5
-0.034556436,0.750933214,0.972952985,tp53bp2b
-0.038912744,0.751045083,0.972952985,uck2b
0.045697153,0.751092677,0.972952985,XLOC_019062
0.045070099,0.751097146,0.972952985,ing4
-0.070453033,0.751141079,0.972952985,CR381647.3
-0.048776081,0.751164224,0.972952985,si:ch1073-443f11.2
-0.050994592,0.75117063,0.972952985,sh2b1
0.051011426,0.751243527,0.972952985,efnb3a
0.085309272,0.751356472,0.972952985,si:dkeyp-20g2.1
-0.056698028,0.751360183,0.972952985,slc25a48
0.041984651,0.751384792,0.972952985,si:dkey-85k7.7
-0.353590758,0.751428176,0.972952985,BX601648.2
-0.196035812,0.751436655,0.972952985,LOC108183925
0.097852313,0.751469831,0.972952985,stoml3b
0.079228557,0.751489095,0.972952985,cers4a
-0.080775027,0.751490966,0.972952985,musk
0.049672369,0.751517949,0.972952985,vangl2
0.062911273,0.751551162,0.972952985,si:dkey-48p11.3
0.107374355,0.751571055,0.972952985,si:ch211-1i11.3
0.04076177,0.751637461,0.972952985,waplb
0.06915552,0.751665017,0.972952985,ribc2
-0.081849487,0.751685222,0.972952985,lmod3
0.050712148,0.751698222,0.972952985,dok4
0.063297028,0.751706676,0.972952985,pip4k2aa
-0.141917981,0.751737095,0.972952985,dao.3
0.074806902,0.751775004,0.972952985,irx3b
-0.04656055,0.751814866,0.972952985,spata22
-0.048470771,0.751943583,0.972952985,tcf12
-0.222066144,0.75199142,0.972952985,LOC110439792
-0.042051802,0.75205978,0.972952985,rpl30
-0.123198206,0.752072956,0.972952985,BEND4
-0.220538221,0.752184956,0.972952985,LOC103909932
0.115627672,0.752232837,0.972952985,si:dkey-188i13.6
0.14930694,0.752257479,0.972952985,LOC101884894
0.046073894,0.752265457,0.972952985,barhl1a
0.050141142,0.752373254,0.972952985,zgc:101569
-0.038013768,0.752394333,0.972952985,mon1bb
-0.113859814,0.752400194,0.972952985,nmba
0.046668238,0.752408505,0.972952985,qdprb1
-0.066853958,0.752413405,0.972952985,morn2
0.189048904,0.752426549,0.972952985,psmb8a
0.042147974,0.752442664,0.972952985,CR376737.1
0.034491008,0.752570622,0.972952985,gnal2
0.216173276,0.752578698,0.972952985,c3a.1
-0.164668889,0.752607404,0.972952985,BX005085.1
0.283882559,0.752607897,0.972952985,si:dkey-11p23.7
0.225714781,0.752623703,0.972952985,tbx22
0.184131453,0.752715512,0.972952985,ccl35.1
0.037085165,0.752751823,0.972952985,dclk1a
0.060978248,0.752858176,0.972952985,tmem104
-0.037772592,0.752887118,0.972952985,atp2b1b
-0.034102594,0.752888676,0.972952985,pdhb
0.065956502,0.752890621,0.972952985,mir124-2
0.034655615,0.752936661,0.972952985,ccdc22
0.050164702,0.752986207,0.972952985,ubl3a
-0.038354967,0.752996738,0.972952985,lrch1
0.041618099,0.753032414,0.972952985,hsp90aa1.2
-0.052269632,0.753037721,0.972952985,zgc:112332
-0.03785988,0.753066342,0.972952985,ube2ib
0.040801908,0.753110578,0.972952985,lhx9
0.048037053,0.753116944,0.972952985,emg1
0.123490132,0.753149764,0.972952985,calhm2
-0.037948251,0.753198555,0.972952985,psma6b
-0.051778665,0.753281208,0.972952985,lmf1
0.264023785,0.753403458,0.972952985,insb
0.057649325,0.753428265,0.972952985,CABZ01080375.1
0.052206379,0.753428951,0.972952985,pdzd2
0.132803244,0.753464268,0.972952985,slx4ip
-0.039671375,0.753465479,0.972952985,slc25a42
0.149105828,0.753470547,0.972952985,chia.2
0.044238122,0.753517301,0.972952985,si:ch73-238c9.1
0.048375769,0.753529408,0.972952985,gbe1b
0.265877449,0.753539583,0.972952985,si:dkey-261o4.9
0.042330979,0.753579287,0.972952985,sh3glb1a
0.050334798,0.753579487,0.972952985,nog3
-0.074221906,0.753603658,0.972952985,XLOC_043788
0.042344699,0.753610575,0.972952985,atpaf1
0.19906318,0.753745878,0.972952985,CR407701.1
-0.059424524,0.753761682,0.972952985,igfbp7
0.062821706,0.753796235,0.972952985,pnp6
-0.290764929,0.753913715,0.972952985,zmp:0000001323
-0.043107315,0.753937646,0.972952985,gucy1b1
0.034520023,0.753937661,0.972952985,VSTM2B
-0.065585682,0.753948281,0.972952985,ccdc151
-0.033267164,0.753975341,0.972952985,mindy3
0.187253531,0.753996184,0.972952985,bmp7a
0.123843701,0.754021373,0.972952985,XLOC_028243
-0.038821202,0.754047844,0.972952985,wsb1
0.114316911,0.754096594,0.972952985,LOC100538052
-0.037726674,0.754105208,0.972952985,pitpnbl
