log2FoldChange,pvalue,padj,LLgeneAbbrev
1.238986063,2.85785698359492e-07,0.000119326,pcdh1g13
-0.881174624,3.86227589020828e-07,0.00015473,lrtm2a
0.751926276,3.88654167974502e-07,0.00015473,zgc:153383
-1.002136888,4.13385361972179e-07,0.000158731,CABZ01099795.1
1.549351262,4.1724966142284e-07,0.000158731,XLOC_037781
-0.768116205,4.40737074669579e-07,0.000164021,rereb
1.481539058,4.89371999691416e-07,0.000178246,arhgap29a
0.893330771,5.06729813344171e-07,0.000180723,igfbp5b
1.222268301,5.45679856144486e-07,0.000190643,chata
1.147864444,6.00216254031021e-07,0.000205502,lmnb2
-0.753986737,6.45492456030531e-07,0.000213521,tbc1d30
0.907778599,6.48583402508456e-07,0.000213521,LO017700.1
-1.380411881,6.78915678412127e-07,0.00021929,XLOC_010908
0.905120345,8.26861861567872e-07,0.000256597,larp4ab
1.105457662,8.2896406262989e-07,0.000256597,FP016056.1
-0.776659028,8.39385753076783e-07,0.000256597,sec23ip
0.974267241,1.08177756541041e-06,0.000324894,XLOC_014336
0.991666199,1.23485539083938e-06,0.000364474,meis2a
1.469788105,1.50207371179199e-06,0.000435831,CR931813.2
0.811001519,1.71968619328884e-06,0.000490655,snx27a
-0.73384168,1.92369735461375e-06,0.000539865,odc1
-0.741258386,2.08374082098971e-06,0.000575348,zgc:112332
1.372424147,2.17110815959022e-06,0.000581517,st3gal4
0.956247578,2.17402408755664e-06,0.000581517,col4a5
0.975214907,2.26654453855195e-06,0.000596938,jazf1a
0.764661073,2.35570598450201e-06,0.00061102,aplp2
-0.737443322,2.5088258678249e-06,0.000634507,esd
0.951110487,2.52038612714201e-06,0.000634507,cacng2a
0.988508458,2.6285266286017e-06,0.000652141,si:dkey-237i9.1
1.330103013,2.74296039756765e-06,0.000670811,KCTD15
0.832908219,3.04441760947716e-06,0.000734048,tfe3a
1.305749561,3.10818025036732e-06,0.000739013,gria2a
0.957038092,3.20087656274147e-06,0.000742271,pitpnab
0.798222139,3.20860223155816e-06,0.000742271,ralgps2
0.651183794,3.27830617753567e-06,0.000747426,CABZ01078320.1
0.724002951,3.31820530377608e-06,0.000747426,synm
1.240614808,3.45697255242077e-06,0.00076857,CR318607.1
0.802986562,3.79191270520774e-06,0.000823704,XLOC_018182
-0.968714441,3.80119433393669e-06,0.000823704,zdhhc23b
0.845336676,3.89184315724986e-06,0.000832806,slc7a1
1.344996229,4.17543228852782e-06,0.000874462,CU695117.1
0.957242713,4.2456081057861e-06,0.000874462,cdh2
0.803266201,4.26965592209337e-06,0.000874462,top1l
0.873816885,4.29083715026314e-06,0.000874462,CABZ01088149.1
0.897474677,4.42528842516299e-06,0.000891253,XLOC_035513
-1.015559965,5.10051107422811e-06,0.001015298,sap130b
-0.688948015,5.43748532073702e-06,0.001069935,LO017835.1
0.743708579,5.75065066814434e-06,0.001118698,polr2m
0.820942588,5.93978019281492e-06,0.001142507,hsf1
0.897255286,6.1389869822689e-06,0.001166091,mxd4
0.80123644,6.24756270535613e-06,0.001166091,sox2
0.823333218,6.26674191247761e-06,0.001166091,gatad2b
0.803738495,6.37921983571084e-06,0.001174257,XLOC_013964
1.005428678,6.58085303391432e-06,0.001198485,zbtb43
-0.686866447,6.96382959233324e-06,0.001254882,pcmtl
-0.81132264,7.1318876359665e-06,0.001271779,dhrs13a.2
1.628971376,7.62156006843831e-06,0.001345087,si:ch211-222e20.4
0.96561713,7.80647566485648e-06,0.001363664,creb5b
0.754886806,8.30916567153202e-06,0.001436814,armc8
0.66828054,8.89772483865858e-06,0.001523202,cygb1
-0.961484072,9.12395221436577e-06,0.001546465,irs4a
1.129972846,9.30384660446024e-06,0.001561496,ncam3
1.077742952,9.76649532655857e-06,0.001623229,LRRTM4
0.819985289,1.04221191376113e-05,0.001715541,ap1ar
0.680672264,1.06729793744668e-05,0.00172934,pik3r3b
-0.832528969,1.07407863026978e-05,0.00172934,plekhn1
0.899222381,1.08090074102973e-05,0.00172934,gorasp1a
1.235252649,1.11662634785354e-05,0.001769956,fam163b
-0.610517121,1.159992172349e-05,0.001821826,slc7a10a
5.244864256,1.1842933400785e-05,0.001843083,XLOC_013061
0.840904516,1.20602950932612e-05,0.001848655,rap1b
1.031055862,1.21280803997006e-05,0.001848655,XLOC_040020
0.847682707,1.22026967426629e-05,0.001848655,unkl
0.639476888,1.24759330770019e-05,0.001873469,si:ch211-286o17.1
0.834108138,1.34293639492646e-05,0.001999107,abhd3
-0.925128218,1.38745072658707e-05,0.002030818,bricd5
-0.79081953,1.3935544261948e-05,0.002030818,tnksb
0.862397858,1.39982751792168e-05,0.002030818,ptprda
-0.845861606,1.44717472260823e-05,0.002081864,CU651662.1
0.689535639,1.52657062968812e-05,0.00217778,foxp4
0.58650498,1.57740173833933e-05,0.002231698,ddit3
-1.270623343,1.65333328099969e-05,0.002319952,CABZ01079804.1
1.203633057,1.68424706381601e-05,0.002344116,cd40
-0.589933328,1.73107556153467e-05,0.002383515,mtmr6
1.09523473,1.74040198887349e-05,0.002383515,scp2b
-0.535605872,1.7866349205827e-05,0.002427413,eif3f
