,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,mutation
11,GOMF_STRUCTURAL_MOLECULE_ACTIVITY,GOMF_STRUCTURAL_MOLECULE_ACTIVITY,485,-0.365501045,-1.622979362,4.65366320313733e-06,0.003921346,0.003774588,5080,"tags=43%, list=27%, signal=32%",sptb/rpl36/mrpl34/mrps11/rpl12/rpl15/add3a/zgc:171480/rpl31/panx1a/gfap/mrpl36/clta/col5a1/desma/map1b/rpl32/msna/mrpl10/mrpl35/neb/cpox/ndufa7/igfbp7/rplp0/tubb6/bfsp2/mrps33/dctn3/ank2b/mrpl24/col9a1b/myl13/tuba8l2/actb1/rpl3/cryba2b/pleca/mrps25/rps11/rpl11/nexn/mrps16/tubb4b/rps20/tubb5/rpl35/rps16/col7a1/crygs1/actb2/mrps34/rpl34/mrpl41/malb/rpl35a/rpl21/rps13/rps15a/mrpl2/mpz/impg2a/col21a1/pcloa/lad1/rpl22l1/rps29/actr2b/rpl13a/nphp4/myom2a/rps2/mrpl33/optc/rps24/mapk8ip2/rps7/mybpha/rps25/rpl23a/rpl18/si:dkey-57a22.15/rps3a/lama2/lamc1/nup155/rps4x/myhb/rpl39/upf3a/eif3s10/rpl22/mrpl11/apoeb/rpl19/rps8a/rpl8/myl9b/bicd1a/pom121/tubb2/rpl7/rps5/numa1/synm/cryaa/rps3/map1aa/rplp1/rpl30/rps18/mfap5/rps27.1/tube1/col4a5/ank3a/col4a1/rpl28/cldn7a/rpl36a/rps9/rpl17/rpl13/rps26l/rps14/epb41b/rpl5a/rpl10a/cltcl1/crybb1/rpl9/col2a1a/hmox1a/rpl27/tpma/mrpl20/pnn/colq/tuba1c/rpl18a/rpsa/rpl7a/rpl23/rps6/rps21/tecta/rps28/macf1a/tpm2/rps15/vwa1/rpl38/mxra5b/nup54/rps19/rps12/cltb/tuba8l3/rpl26/rps27a/uba52/tprb/rpl24/upf3b/cryba1a/rpl29/nup214/rpl4/csrp2/sptbn1/tuba8l4/impg1b/mrpl16/crocc2/ttn.2/mrps7/panx3/dlg4a/lama1/sec31b/rpl10/neflb/col6a2/rplp2l/tuba1b/ank1b/tuba1a/tinagl1/BFSP1/cldn2/col4a2/cryba4/crygn1/panx2/myl2b/erc2/myom1b/actr3/obscnb/cd2ap/pxdn/vtna/tuba7l/nefma/si:ch211-114n24.6/otol1a/fgg/col5a3a/muc5.1,t238p
12,GOCC_SMALL_RIBOSOMAL_SUBUNIT,GOCC_SMALL_RIBOSOMAL_SUBUNIT,61,-0.600429507,-2.081418941,5.5754480137809e-06,0.004306569,0.004145395,4472,"tags=59%, list=24%, signal=45%",mrps33/rps11/mrps16/rps20/rps16/mrps34/rps13/rps15a/rps29/rps2/rps24/rps7/rps25/rps3a/rps4x/rps8a/rack1/rps5/rps3/rps18/rps27.1/rps9/rps26l/rps14/rpsa/rps6/rps21/rps28/rps15/rps19/rps12/rps27a/hbae3/uba52/mrps7/mrps27,t238p
13,GOBP_BONE_MINERALIZATION,GOBP_BONE_MINERALIZATION,88,0.488369809,2.027454266,9.81378736447538e-06,0.00699723,0.006735357,4291,"tags=47%, list=23%, signal=36%",ptgs2b/ptk2ba/ptk2bb/loxa/bmp6/acvr2aa/yrk/trpm4a/enpp1/tuft1a/bmpr1aa/phex/p2rx7/tfa/bmp2a/eif2ak3/rspo2/bmp2k/actn3b/snx10a/fgfr3/notum1a/ror2/alox12/sgms2a/nbr1b/hif1ab/tfap2a/alox5a/fzd9a/minpp1b/phospho1/tmem119b/aspn/lgr4/wnt10b/ankhb/fam20cb/axin2/gpc3/zmpste24,t238p
14,GOMF_CARGO_RECEPTOR_ACTIVITY,GOMF_CARGO_RECEPTOR_ACTIVITY,46,0.585214118,2.135398492,1.2590145908475e-05,0.008335576,0.008023615,3012,"tags=41%, list=16%, signal=35%",tmprss13b/itgb2/enpp2/cubn/hhipl1/tmprss4a/enpp1/mrc1a/scarb1/scarb2c/loxl2b/loxl4/ildr1b/dab2/vldlr/scarb2a/scarf1/lrp1bb/lrp12,t238p
15,GOBP_DETECTION_OF_LIGHT_STIMULUS,GOBP_DETECTION_OF_LIGHT_STIMULUS,54,-0.59718045,-2.017811281,3.48317833286125e-05,0.019604252,0.018870557,3999,"tags=59%, list=22%, signal=47%",reep6/atp8a2/pdcb/pde6c/gnat1/rcvrna/crb1/rs1a/gngt2a/slc24a4a/grk1a/gnat2/grm6b/tulp1a/aipl1/si:ch73-167i17.6/gngt1/rpe65a/prph2a/crocc2/pde6b/grk7a/elovl4a/grk7b/sema5ba/trpc3/opn1lw2/rho/slc24a2/tulp1b/opn1sw1/opn1lw1,t238p
16,GOBP_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,GOBP_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,75,0.479939361,1.928312444,3.56228401829356e-05,0.019604252,0.018870557,3732,"tags=47%, list=20%, signal=37%",f2rl1.2/nod2/pik3ap1/tnip2/ptpn22/ticam1/tlr3/bpifcl/tfa/smpdl3b/tlr5b/tril/flot1b/mapkapk2a/lgals9l3/traf6/otud4/mfhas1/flot2a/sarm1/nfkbiaa/myd88/flot2b/plcg2/ripk2/s100v2/birc2/rab11fip2/ptprsa/gramd4a/arrb2b/rps6ka3b/lgr4/slc15a4/cyba,t238p
17,GOCC_CELL_SURFACE,GOCC_CELL_SURFACE,459,0.286920816,1.446258186,3.59555806989012e-05,0.019604252,0.018870557,3628,"tags=32%, list=20%, signal=27%",epoa/itgb2/il13ra2/p2rx1/nod2/il13ra1/slc46a2/cubn/krt4/ptprc/itgb4/itga3b/il11ra/plaub/acvr2aa/adam8b/ms4a17a.2/wnt1/cd248b/ms4a17a.5/gfral/enpp1/hhip/kdr/bmpr1aa/mrc1a/cd109/tlr3/scarb1/itga5/ptprja/p2ry1/bpifcl/lifrb/alcamb/slc1a3b/adgra2/p2rx7/cxcr4a/tfa/bmp2a/trpv4/nrros/gria1b/tnn/si:dkey-11f4.14/aoc2/itgb8/mcama/tspan14/meltf/antxr1c/il1rapl1b/abcb4/ms4a17a.9/mhc1zba/clic4/rspo2/adam17a/sort1b/flot1b/tnfrsfa/adam10a/pdgfra/mhc1zfa/si:ch73-22o12.1/kita/mpzl1l/rtn2b/cd28/pdgfc/ms4a17a.7/gpc4/sdc4/mhc1zea/vcam1b/tnfrsf1a/fgfr3/tspan33a/sulf1/sulf2b/lrrc8ab/acvrl1/tspan15/fgfbp1b/lepr/pdgfaa/thbs1b/ror2/tfpia/cd248a/chrna1/slc46a1/wif1/vamp5/gpc5a/itgbl1/cxcl12b/pdgfbb/rgma/hjv/rc3h2/anxa1a/adamts9/ache/crlf1a/ramp2/ror1/fgf10a/fzd9a/epha2b/itgb6/ndp/itga11a/cntn2/adgrg2a/bgnb/apmap/adamts15b/heg1/kcnc1a/anxa4/cd151l/slitrk6/itga8/gsr/fap/cdh13/itgb5/prom1b/wnt7aa/anxa5b/egfra/cav3/adra2b/cntfr/jam2b/ide/ctsk/mxra8a/vasnb/si:ch211-264f5.6/serpine2/notch3/trpv1/pam/tgfbr2b/srpx2,t238p
18,GOCC_9PLUS0_NON_MOTILE_CILIUM,GOCC_9PLUS0_NON_MOTILE_CILIUM,104,-0.496377994,-1.897234784,4.98588650049329e-05,0.025674546,0.024713669,4275,"tags=46%, list=23%, signal=35%",cetn4/ocrl/atp1a2a/atp8a2/spata7/pdcb/nphp4/gnat1/pcdh1g18/rcvrna/crb1/pex6/si:dkeyp-27e10.3/tmem237a/sdccag8/rd3/whrna/myo7aa/lyar/slc24a4a/ttc8/napepld/grk1a/gnat2/si:dkey-126g1.9/cerkl/tulp1a/si:ch73-167i17.6/lca5/gngt1/impg1b/prph2a/crocc2/pde6b/cnga1b/grk7a/arr3a/pcdh15a/grk7b/rp1l1a/opn1lw2/rho/tulp1b/opn1sw1/dynll2a/cfap410/opn1lw1/cetn2,t238p
19,HP_COLOR_VISION_DEFECT,HP_COLOR_VISION_DEFECT,93,-0.508583001,-1.909016752,5.78226389996937e-05,0.028208318,0.027152614,3908,"tags=42%, list=21%, signal=33%",spata7/spry4/pde6c/impg2a/gnat1/pink1/rtn4ip1/ttll5/wdr11/pitpnm3/prkn/morc2/ccdc141/atf6/grk1a/gnat2/fgfr1b/grm6b/tulp1a/nbas/aipl1/sox10/lca5/dcc/rpe65a/impg1b/prph2a/pde6b/elovl4a/cnga3a/lrit3a/opn1lw2/rho/tulp1b/opn1sw1/mttp/cfap410/nmnat1/opn1lw1,t238p
20,GOCC_PHOTORECEPTOR_INNER_SEGMENT,GOCC_PHOTORECEPTOR_INNER_SEGMENT,50,-0.593459115,-1.989702742,8.5400185164806e-05,0.037694015,0.036283307,3999,"tags=56%, list=22%, signal=44%",reep6/atp8a2/pdcb/gnat1/rcvrna/crb1/rs1a/rd3/whrna/myo7aa/gnat2/cerkl/tulp1a/aipl1/asrgl1/gngt1/dnm1b/impg1b/prph2a/crocc2/eno2/arr3a/nos1/cdh23/rho/slc24a2/tulp1b/opn1sw1,t238p
