log2FoldChange,pvalue,padj,LLgeneAbbrev
-0.28712873,2.69433520188154e-05,0.009604574,rcor1
0.349269667,2.73323116865536e-05,0.009604574,bloc1s2
0.606699907,2.91006901124443e-05,0.009881342,csrp1b
0.334111141,2.98696358430075e-05,0.009881342,zgc:193541
0.457471892,2.99945871419799e-05,0.009881342,tomm7
0.875585435,3.21207132521974e-05,0.010365813,XLOC_017424
0.42476791,3.28659173883832e-05,0.010394175,slc20a2
-0.477902949,3.45633737007316e-05,0.010716679,prickle2a
-0.833231597,3.69548607352058e-05,0.011237831,ntd5
0.411546728,3.93276331657725e-05,0.011733733,srebf1
0.765393659,4.09464166815228e-05,0.011990476,s1pr5a
-0.295370705,4.6197889958769e-05,0.013103335,ripor2
0.510561547,4.64040209541903e-05,0.013103335,scarb2a
0.822348267,4.76517909821402e-05,0.01321961,tcap
-0.561008703,5.04346459586916e-05,0.013578361,ubb
-0.32116625,5.23663220007189e-05,0.013578361,fam169ab
-0.451651391,5.31922071270798e-05,0.013578361,cdh13
-0.309833577,5.47758390481885e-05,0.013578361,hif1ab
-0.641382694,5.55854521714197e-05,0.013578361,tbrg1
-0.730827477,5.71348052003135e-05,0.013578361,pgap1
0.582800422,5.72928250422749e-05,0.013578361,zmp:0000001073
-0.63025497,5.75792165555479e-05,0.013578361,shisa2b
0.504454891,5.75954955479222e-05,0.013578361,rnf19b
-0.445409585,5.76181110644648e-05,0.013578361,fscn1a
-0.751434156,5.85486086930053e-05,0.013578361,zdhhc21
-0.615746906,5.92491574862284e-05,0.013578361,arhgef18b
-0.417674819,6.08273952610229e-05,0.013740909,add3b
0.578553477,6.60026735642588e-05,0.014700004,rpl22l1
0.886110294,7.00834731810938e-05,0.015392083,CR933528.1
-0.414505242,9.37695836087714e-05,0.020053712,lrrn2
-0.266338571,9.38452339789736e-05,0.020053712,baz2a
-0.994247328,9.5152589509025e-05,0.020061972,slc36a1
-0.922318994,9.65051329155554e-05,0.020079417,ppp2r5a
-0.38840653,0.000101581,0.020794182,xrn2
0.383399947,0.00010257,0.020794182,peak1
-2.313164553,0.000109169,0.021338533,smc1a
0.4150846,0.000109418,0.021338533,tgfb2
0.361541787,0.00011005,0.021338533,mpp3b
-0.606018825,0.000110653,0.021338533,sox9b
-0.378384465,0.000115516,0.022007837,lpin1
-0.327537511,0.000121521,0.022876361,cbx7a
-0.251214733,0.000123508,0.022976858,ctbp2a
-0.266197191,0.000129271,0.023130495,scg2b
0.342206183,0.000130145,0.023130495,l1camb
-0.419855066,0.000130354,0.023130495,hbp1
-0.922880128,0.000130951,0.023130495,mos
0.331326957,0.000131648,0.023130495,mrps6
-0.506289584,0.000137559,0.023795681,zgc:55733
-0.632724646,0.000139811,0.023795681,enpp5
-0.396244849,0.000139948,0.023795681,foxp2
-0.371318177,0.000144354,0.024283797,skib
-0.317518371,0.000147471,0.024345023,tox3
-0.625808361,0.000148899,0.024345023,tln2a
0.376373031,0.000149337,0.024345023,spry2
0.577680002,0.000156263,0.024787001,XLOC_028010
-0.357933382,0.000156522,0.024787001,timp2a
0.531730106,0.000160788,0.024787001,palld
-0.35039675,0.000161902,0.024787001,si:dkey-174m14.3
-0.445437173,0.000163651,0.024787001,isl1
0.759175531,0.000164774,0.024787001,plxnb2b
-0.206315766,0.000165475,0.024787001,rpa1
0.572476135,0.000166187,0.024787001,ago1
-0.295515875,0.000166568,0.024787001,rnf130
-0.605212928,0.000167723,0.024787001,dab2ipb
0.332177525,0.000183443,0.026698568,zbtb22a
-1.00851156,0.000184035,0.026698568,si:ch211-106j24.1
1.09507228,0.000188324,0.027072359,per1a
-0.328949124,0.000195859,0.02769665,gria2b
0.411827517,0.000199336,0.02769665,si:dkey-200l5.4
0.356950727,0.00020053,0.02769665,atp5mf
-0.371445468,0.000201991,0.02769665,pam
0.522133137,0.000202835,0.02769665,TPGS1
-0.741840051,0.000203175,0.02769665,ccdc88aa
0.350202898,0.000214722,0.029020467,tmsb4x
